Index,Time,Source,Content
11,2019-08-16T11:48:00+05:30,Times of India,"KOLKATA: Actor-turned-BJP MP Roopa Ganguly's son has been arrested for allegedly ramming his car into the wall of an upscale south Kolkata club, a senior police officer said on Friday.Akash Mukherjee (21) was taken into custody following the incident around 9.15pm on Thursday, he said.""We have arrested him for rash driving and damaging properties. No casualty was reported in the accident, the officer said.My son has met with an accident near MY RESIDENCE.  I called police to tke care of it with all legal implications… https://t.co/usYF3JWhQJ— Roopa Ganguly (@RoopaSpeaks) 1565894186000Mukherjee will be produced at Alipore court later in the day, he added.Locals claimed that many people had a narrow escape as the four-wheeler was being driven at a breakneck speed.The car crashed into the boundary wall of Royal Calcutta Golf Club (RCGC) in the city's Golf Green area, breaking a portion of it, with the driver still trapped inside, they said.Mukherjee, however, came out of the black sedan unscathed with the help of his father, who had rushed out of their apartment nearby on hearing the commotion.In a tweet, Ganguly said on Thursday that law should take its own course.""My son has met with an accident near MY RESIDENCE. I called police to tke care of it with all legal implications... No favours/ politics plz. I love my son & will tk cr of him BUT, LAW SHOULD TAKE ITS OWN COURSE (sic),"" she said.Tagging Prime Minister Narendra Modi in the tweet, the Rajya Sabha member said in Hindi, ""I don't commit any wrong, neither do I tolerate one. I am not up for sale.""Read this story in Bengali"
12,2019-07-31T21:52:38+05:30,Times of India,"KOLKATA: Two persons were killed in two separate road mishaps in Kolkata on Wednesday.The first accident occurred around 12.10pm on the New Howrah bridge approach road near Brabourne Road flyover. An unidentified person, aged about 45 years, who was standing on the foot board of a private bus was critically injured after he accidentally fell from the bus and got crushed under the rear wheels of the vehicle while trying to get down. He was rushed to Calcutta Medical College and Hospital with multiple critical injuries where he was declared brought dead. The police later seized the bus but the driver had managed to escape from the spot where the accident occurred.The second accident occurred around 6.30pm near the backside gate of New CIT building on Chaulpatty Road. Susanta Das (50), an auto rickshaw driver and resident of Beliaghata Main Road, was killed and the auto rickshaw mechanic Shibu Sen (51), a resident of Chinrighata, was seriously injured when a light goods vehicle dashed the auto that was standing on the road side as Sen was doing some repairing work of the vehicle. Das succumbed to his injuries after being rushed to a nearby hospital as Sen was admitted at NRS hospital with multiple injuries. The police later seized the light goods vehicle and arrested the driver."
13,2019-08-25T09:51:01+05:30,Times of India,"KOLKATA: Two accidents involving speeding trucks near the Brace bridge area of Taratala have left three persons seriously injured since Friday night. In one of the accidents, the hand of a civic volunteer of Medical College and Hospital police outpost got wedged between a truck and the bus in which he was travelling. Sources said he might lose his right hand. This is the third incident of a passenger getting injured severely after hanging out a body part while travelling in a bus in the recent past.Police said civic volunteer Amit Das was headed for work at Medical College and Hospital from his residence at Oxytown Shibrampur located near Behala’s Shakuntala Park. He had boarded a private bus on route 12C/1 and was sitting by the window that is also the emergency door of the bus. The vehicle was getting off Brace bridge towards Hyde Road around 7.15am on Saturday when a mini-truck tried to overtake another vehicle coming from the opposite side and moving towards Taratala. The truck brushed past the right side of the bus, said police.“As Das had his hand (from the elbow) hanging out, he suffered multiple fractures. He was rushed to Medical College and Hospital,” said an officer of Taratala PS. Both vehicles have been seized and their drivers arrested, said the officer.In another accident on Taratala Road, an auto coming from Taratala and heading towards Ramnagar met with a collision with a truck headed towards Taratala. Auto driver Md Guljar (22) and a passenger, Md Shamim of Garden Reach, were seriously injured. The incident was reported around 9.40pm on Friday."
14,2019-07-20T12:26:05+05:30,Times of India,"KOLKATA: Two persons lost their lives while two others were seriously injured in three accidents in the city early on Friday.In the first incident, reported around 2.05am on the Maa flyover near the Boat Club, Sanjoy Ram (25), a resident of Pilkhana in Tangra, died after his bike skidded . Cops, however, could not confirm whether Ram was wearing a helmet. Pillion rider Chattu Das(20), too, received injuries and was admitted to SSKM Hospital in a serious condition. Questions are being raised on how the biker managed to use the flyover given that twowheelers are not allowed on it at night.In the second accident, a dumper and a truck had a head-on collision around 5.05am on Friday near Behala’s Sakherbazar on the busy Diamond Harbour Road. The accident left dumper driver Samir Malik (33) with serious injuries on his legs. The truck driver, however, managed to flee. The accident left four shops located on the DH Road severely damaged. Police said they were trying to ascertain how the two trucks came face to face since DH Road is wide enough. Malik was admitted to Vidyasagar Hospital.In another accident, an unidentified 65-year-old woman was run over by a vehicle on Garden Reach Road."
15,2019-08-21T12:40:59+05:30,Times of India,"KOLKATA: Prodded by his wife, who was wary of his one-and-a-half-hour-long strenuous journey on a bike along rickety roads, Kazi Samim Raza had bought a second-hand car last month. But he continued to use his scooter to reach office as he was yet to get a four-wheeler driving licence. On Monday, he was thrown off the scooter while negotiating a treacherous stretch on E M Bypass and came under a bus.“Since their daughter was born, his wife used to tell him to get rid of his scooter. Prodded by her constant nudge and the deplorable condition of roads, he bought a second-hand car. He had also started to learn driving but was yet to get his hands set on the wheels and get a driving licence,” said Nasimul Islam, Samim’s brother-in-law.Just a few days before the accident, even Samim had told him that he was planning to let go of the scooter because of the poor condition of the stretch — GT Road, Belghoria Expressway, VIP Road and EM Bypass – he regularly rode to reach his office at Kasba Industrial Estate. “He had plans to give up the scooter and drive to office from his home in his car. But he died even before he could shift to the four-wheel drive,” said Islam.Samim was even looking for a flat in south Kolkata and was trying to shift to the city to cut down on his travel time. He was the main earning member in the family. The elder brother and his wife are sick and Samim had to take care of their treatment as well. The family is in deep trouble now,” said Mijanur Rahman, a close friend of Samim.The family members also rued at the fact that Samim taken to a government hospital, 7kms from the accident spot, while he could be easily taken to the nearest private facility. “I don’t know who took the decision of taking Samim to a government hospital, which took a lot of time. Also, the hospital didn’t have the facility to handle critical patients. Police should conduct an inquiry to find out the culprit and take action against him,” said Islam, a resident of Park Circus.One of Samim’s colleagues, whom he had called immediately after the accident, too, said someone from the accident spot had initially told him that they were taking Samim to Ruby hospital. The colleagues even rushed to the hospital and had made the hospital authorities aware of the accident and that they were bringing in a critical patient, but he never arrived.“I kept on calling Samim’s number but none responded. I then went up to the traffic guard at Ruby crossing and sought help from an officer about the whereabouts of Samim. The officer checked and told me that the ambulance carrying Samim has already left for CNMC. Some time later, a police officer took the call on Samim’s number and it was a protocol to take an accident victim to a government hospital,” said Debasis Talukdar, the colleague."
16,2019-08-27T06:30:13+05:30,Times of India,"KOLKATA: Come what may, you will never find a Kavi Subhas-bound rake leaving the Dum Dum station from the Up platform. This is a procedure that Metro Railway sometimes follows at other stations when tracks are blocked due to a technical snag. Trains arriving at a platform depart from there and then change over to the proper line midway. Similarly, clear instructions have been given to operating staff to not evacuate Down rakes during peak hours at Dum Dum if there is any possibility of running them. Any attempt to evacuate a rake could result in a stampede-like situation.“When a Down train enters the platform during the morning peak hours, there are over a thousand people waiting. Passengers keep pouring in. Unless we have trains to get them out, there would be total chaos. That is what happened on Wednesday morning. We checked the CCTV footage later and realised that there were nearly 4,000 passengers on the train and platform while efforts were being made to shut one of the doors. It was a good decision to start the train with due protection,” Metro Railway principal chief operations manager Satyaki Nath said.No other station comes even close to Dum Dum’s passenger count. The next in line are the Esplanade and Rabindra Sadan stations. These stations handle about 50,000 passengers every day. Metro expects a huge rush of Puja shoppers at Esplanade from September 16 and has started taking precaution. However, all efforts will be made to clear the rush at Dum Dum, even if it means running a train with a door open, as it happened on Wednesday.“We have some space at Esplanade station and the crowd of shoppers move from both directions. Its different at Dum Dum. During the morning peak hours, all passengers are south-bound and on the Down platform. On Wednesday, there was no way we could have reversed the affected rake. Had we decided to reverse a rake towards the Down direction from the Up platform, there would have been a stampede on the stairs. Some people might have tried to cross the tracks (and electrified third rails) to reach the Up platform. Hence, we have instructed Railway Protection Force (RPF) personnel at Dum Dum to maintain a strict watch so that nobody gets down on the tracks,” Nath added.On Wednesday, more people might have reached the platform at Dum Dum had the booking counters not been shut down. Senior officers urged passengers to behave rationally and not try to get into a train when there is no space."
17,2019-09-04T06:48:40+05:30,Times of India,"KOLKATA: A 70-year-old woman, who was trying to board a Behala-bound government bus, was run over by it at the Rashbehari Avenue and Purna Das Road crossing close to Triangular Park. Police said the woman, a resident of Barisha in Thakurpukur, met with the accident around 4.25pm on Tuesday.The victim, Riti Ambuli, was unmarried and earned a living by offering tuitions.Cops believe the woman was probably on her way back home when the incident took place. Cops at the Rabindra Sarobar police station have registered a case of death due to rash and negligent driving and are investigating the case. The driver of the government bus, which plies between Behala 14 number and New Town, has been arrested.In another incident, a WBTC bus seriously injured a pedestrian around 9pm on Monday. The pedestrian, Usha Rani Saha (70), was trying to cross the road at the Behala Tram Depot when the bus plying between Esplanade and Boral hit the woman. Her condition is critical, said cops quoting doctors.A recent analysis has found that 19 accidents taking place in the past two months are either due to passengers getting off moving buses, coming in front buses and slipping off the footboard. The most recent one saw a 46-yearold tailor standing on the footboard of a government bus negotiating a narrow and congested road in Haridevpur. The passenger lost his left arm after it was ripped off when the elbow got caught in the wedge of a building’s corner.“We will begin a special drive in this regard soon. The aim is to inculcate the best practices,” said DC (traffic) Santosh Pandey. The cops said they will be speaking to transport experts and even bus manufacturers in this regard. “The AC buses are the best option. But it is the private sector, whom we want to regulate,” said an officer."
18,2019-09-19T12:22:16+05:30,Times of India,"HOWRAH: A helmetless biker, Subho Jana (24), lost his life while his pillion rider, Debayan Deashi, sustained critical injuries when a lorry knocked down their two-wheeler at Kona Expressway on Wednesday afternoon. The accident took place when the two were on their way to attend Viswakarma Puja at their office at Howrah's Batore. Cops said that the lorry that hit the victim's bike was racing with another truck along the Kolkata-bound flank of Kona Expressway. Drivers of both the lorries managed to flee with their vehicles. After the locals informed police, a team from Batore traffic guard reached the spot and carried the injured bikers to Howrah district hospital where Jana was declared dead. Deashi was later referred to SSKM Hospital."
19,2019-07-29T06:39:26+05:30,Times of India,"KOLKATA: Wet roads led to three major accidents between Saturday night and the early hours of Sunday, leaving three persons injured seriously in different parts of north Kolkata. Around 12.30am, a biker riding along the wet tarmac on BT Road near South Sinthee crossing skidded while trying to slam the brake as another vehicle criss-crossed the road. The victim, Swapan Das, a resident of Bediapara, suffered severe injuries on his forehead, arms and legs as he fell on the road and grazed for a certain distance. Motorists helped him and cops admitted him to RG Kar Medical College and Hospital. In another accident, a youth riding his bike in drizzle was knocked down by an unidentified vehicle from behind. The biker, Arnab Bhattacharya, a resident of Bally in Howrah, sustained injuries on his right leg and was admitted at RG Kar Medical College and Hospital. Cops suspect the two vehicles were moving too closely and the accident took place when the bike and the other vehicle tried to change lanes. The third accident was reported from NG Street in Jorabagan where a driver lost control over his car while parking it near his home. Police said the driver, Ajay Pandey climbed the car on a footpath and hit Arun Kumar Singh, who was sleeping on a bench around 2.15am. He suffered severe head injuries and was taken to RG Kar Medical College and Hospital. Cops arrested Pandey and seized the car."
20,2019-09-19T10:51:32+05:30,Times of India,"KOLKATA: Exactly four weeks after 25-year-old Raghib Parwez was arrested for allegedly being in the driver’s seat of the Jaguar that collided with a Mercedes-Benz, leading to the death of two Bangladeshi executives on the Shakespeare Sarani-Loudon Street crossing, the detective department has filed the charge sheet in the case. Besides Raghib, the primary accused, his younger brother Arsalan, 22, has also been named in the charge sheet along with their maternal uncle Md Hamza.Raghib has been charged under IPC sections 304 (punishment for culpable homicide not amounting to murder), 308 (attempt to commit culpable homicide), 427 (mischief causing damage to the amount of Rs 50) and 279 (rash driving). “He has also been slapped with Section 3 of The Prevention of Damage to Public Property Act, 1984 (mischief causing damage to public property) and 119/177 of the Motor Vehicles Act (disobeying of traffic signal),” said joint CP (crime) Murlidhar Sharma.Raghib is in judicial custody while his brother and uncle are out on bail. Though Lalbazar officers hinted they were mulling asking for a custody trial, the defence lawyers said that now that the charge sheet has been submitted, they are talking to legal experts on approaching the courts for Raghib’s bail.Arsalan has been charged with IPC section 201 (causing disappearance of evidence of offence, or giving false information to screen offender). Arsalan was initially produced before police by the family as the one behind the wheels. Another 48 hours later, during sustained questioning, cops came to know that he was lying. Hamza has been charged under IPC sections 201 and 212 (harbours or conceals a person). It was Hamza who was the first family member to meet Raghib after the accident and was instrumental in sending the elder Parwez brother and his mother to Dubai the next evening. The cops said the charge sheet runs over 400 pages and officers have cited as many as 63 witnesses. Two of them hold the key to the case — Raghib’s friend who was travelling with him in the car on August 16 and fled the scene after the accident, and the Bangladeshi survivor who saw his friends die. Cops have relied hugely on technical evidence — CCTV footage and mobile locations, along with data supplied about the crash by Jaguar Land Rover. Sources said the probe has revealed that after leaving his Syed Amir Ali Avenue residence, Raghib had crossed Park Circus seven-point crossing and headed towards Mullickbazar. He attended a party at a friend’s place and then then drove towards Elliot Road and Rafi Ahmed Kidwai Road with another friend. He finally headed towards JL Nehru Road and took Shakespeare Sarani Road before meeting with the accident at 1.50am."
21,2018-06-26T16:41:24+05:30,NDTV,"Kolkata: Two persons have died and another one sustained injuries when a two-wheeler carrying them was hit by a speeding bus at Ultadanga in north Kolkata, police said today.Akash Dutta (11) and Bittu Sen (16), both pillion riders without helmets, died in last night's accident, while Mrinmoy Parikshit (23), the rider, also without helmet, was severely injured, a senior officer of Kolkata Police said.""Two private buses were racing on the Ultadanga Main Road around 10.05pm when a scooty came between them. The biker lost his balance and one of the two buses hit his vehicle from behind. The two pillion riders fell off the vehicle and came under the wheels of the bus,"" the officer said.The boys were declared brought dead at RG Kar Hospital, while the injured scooty rider is still critical, the officer said.""Both the buses have been seized by the local police station and a search has been initiated for the drivers, who fled the scene after the incident,"" the officer said.Local people had put up a road blockade after the incident, stalling traffic on the thoroughfare for around 30 minutes, the officer added. "
22,2018-06-18T23:31:32+05:30,NDTV,"Kolkata: Three people, including a couple, were killed on Monday as a speeding ambulance lost control and knocked down a bike and a bicycle in West Bengal's Birbhum district, police said.The accident took place in the morning in Birbhum's Labhpur after one of the front tyres of the ambulance burst, police said.""The speeding ambulance took a sharp right turn after its front right tyre burst and knocked down a bike with two riders near Katoa-Suri road. Sheikh Giyasuddin and his wife Jesmine Bibi both died in the accident,"" the officer in-charge of Labhpur police station said.""The ambulance also collided with a bicycle before overturning. The rider of the cycle got severely injured. He later died in the hospital,"" he said.Police said the driver of the ambulance also sustained injuries and has been admitted to a hospital.""No complaints have been registered yet. We are investigating the incident,"" the officer added.For more Kolkata news, please click here"
